PID		MEM 		CPU 		USER       	NLWP 		COUNTER		COMMAND
381		0.0		0.0		systemd+	2.0		2965058.0	/lib/systemd/systemd-timesy
81		0.0		0.0		root		1.0		2965062.0	[scsi_eh_1]
9		0.0		0.0314584990128	root		1.0		2965062.0	[migration/0]
225		0.0		0.0		root		1.0		142397.0	[kworker/1:3]
1368		0.053424603018	0.0		root		3.0		2965059.0	/usr/lib/upower/upowerd
627		0.0487767524278	0.0		root		3.0		2965058.0	/usr/lib/accountsservice/ac
26309		0.0		0.0		root		1.0		3.0		(snap)
1813		0.298445659288	0.00005288	ingjavi+	5.16680953472	17790308.0	/usr/lib/evolution/evolutio
20		0.0		0.0		root		1.0		2965059.0	[writeback]
3560		0.0		0.0		root		1.0		2.0		[dhclient]
2484		0.3		0.0		ingjavi+	4.0		27147.0		/usr/lib/update-notifier/sy
2026		0.0		0.0		ingjavi+	3.0		2965058.0	/usr/lib/gvfs/gvfsd-metadat
17997		0.0		0.0		root		1.0		1.0		(tmpfiles)
181		0.0		0.0		root		1.0		2965062.0	[ext4-rsv-conver]
1476		0.0109722552519	0.0		ingjavi+	3.99754438466	2968706.0	/usr/bin/gnome-keyring-daem
17		0.0		0.0		root		1.0		2965060.0	[netns]
34		0.0		0.0		root		1.0		2965063.0	[vmstat]
79		0.0		0.0		root		1.0		2965064.0	[scsi_eh_0]
431		0.0		0.0		root		1.0		2965058.0	[ttm_swap]
3556		0.3		0.0		ingjavi+	4.0		193853.0	/usr/lib/x86_64-linux-gnu/n
10373		0.0		35.0		root		1.0		2.0		gzip
2285		0.195348837209	0.46511627907	ingjavi+	3.93023255814	43.0		/usr/bin/gnome-terminal.rea
216		0.006353170514	0.0		root		1.0		2965055.0	/lib/systemd/systemd-journa
